geoid,igs_5yr_avg
24510010100,59.8
24510010200,53.2
24510010300,57.2
24510010400,58.6
24510010500,50.4
24510020100,55.2
24510020200,49.2
24510020300,61.8
24510030100,37.0
24510030200,62.2
24510040100,61.6
24510040200,43.4
24510060100,37.0
24510060200,41.6
24510060300,46.6
24510060400,43.6
24510070100,29.2
24510070200,34.8
24510070300,42.2
24510070400,33.6
24510080101,48.4
24510080102,39.2
24510080200,34.6
24510080301,28.8
24510080302,30.8
24510080400,38.2
24510080500,30.6
24510080600,26.0
24510080700,40.4
24510080800,44.8
24510090100,34.2
24510090200,50.6
24510090300,42.0
24510090400,31.0
24510090500,36.4
24510090600,29.0
24510090700,25.6
24510090800,28.2
24510090900,35.2
24510100100,30.8
24510100200,32.8
24510100300,
24510110100,44.2
24510110200,59.4
24510120100,57.0
24510120201,51.2
24510120202,40.8
24510120300,46.4
24510120400,41.4
24510120500,53.2
24510120600,46.8
24510120700,52.0
24510130100,37.0
24510130200,47.0
24510130300,36.0
24510130400,29.8
24510130600,65.6
24510130700,56.6
24510130803,47.8
24510130804,51.8
24510130805,35.8
24510130806,56.0
24510140100,42.6
24510140200,34.0
24510140300,38.4
24510150100,34.2
24510150200,30.0
24510150300,25.0
24510150400,36.8
24510150500,40.0
24510150600,36.8
24510150701,46.4
24510150702,35.2
24510150800,37.2
24510150900,37.4
24510151000,34.8
24510151100,45.8
24510151200,30.0
24510151300,42.8
24510160100,33.8
24510160200,22.4
24510160300,29.6
24510160400,25.6
24510160500,31.0
24510160600,29.4
24510160700,32.6
24510160801,36.4
24510160802,32.4
24510170100,40.0
24510170200,30.8
24510170300,29.6
24510180100,41.2
24510180200,34.6
24510180300,42.0
24510190100,36.8
24510190200,46.8
24510190300,30.0
24510200100,32.2
24510200200,35.4
24510200300,31.0
24510200400,29.4
24510200500,38.0
24510200600,35.0
24510200701,36.0
24510200702,36.2
24510200800,38.2
24510210100,59.6
24510210200,50.4
24510220100,62.8
24510230100,53.6
24510230200,54.0
24510230300,60.2
24510240100,65.4
24510240200,52.6
24510240300,54.4
24510240400,60.6
24510250101,43.0
24510250102,37.8
24510250103,43.4
24510250203,35.2
24510250204,34.0
24510250205,39.8
24510250206,52.2
24510250207,31.4
24510250301,36.0
24510250303,29.8
24510250401,37.0
24510250402,28.0
24510250500,45.0
24510250600,
24510260101,47.8
24510260102,43.2
24510260201,49.2
24510260202,40.4
24510260203,39.0
24510260301,36.4
24510260302,41.0
24510260303,47.2
24510260401,36.4
24510260402,45.8
24510260403,41.6
24510260404,38.0
24510260501,41.4
24510260604,32.4
24510260605,46.6
24510260700,52.0
24510260800,43.6
24510260900,63.2
24510261000,42.0
24510261100,50.2
24510270101,47.4
24510270102,38.8
24510270200,53.0
24510270301,49.0
24510270302,40.6
24510270401,43.4
24510270402,47.2
24510270501,50.6
24510270502,47.8
24510270600,50.8
24510270701,40.4
24510270702,47.8
24510270703,54.2
24510270801,47.0
24510270802,43.4
24510270803,45.6
24510270804,42.2
24510270805,49.8
24510270901,43.2
24510270902,37.6
24510270903,43.8
24510271001,30.6
24510271002,34.6
24510271101,37.0
24510271102,47.2
24510271200,57.8
24510271300,59.8
24510271400,57.2
24510271501,60.4
24510271503,48.6
24510271600,34.0
24510271700,39.0
24510271801,28.4
24510271802,33.0
24510271900,38.0
24510272003,44.0
24510272004,42.4
24510272005,47.2
24510272006,34.6
24510272007,36.0
24510280101,40.2
24510280102,46.6
24510280200,42.6
24510280301,42.2
24510280302,43.8
24510280401,43.2
24510280402,32.0
24510280403,37.2
24510280404,33.2
24510280500,37.8
