geoid,year,inclusive_growth_score,igs_yoy_delta
24510010100,2020,56.0,
24510010100,2021,62.0,6.0
24510010100,2022,61.0,-1.0
24510010100,2023,60.0,-1.0
24510010100,2024,60.0,0.0
24510010200,2020,52.0,
24510010200,2021,54.0,2.0
24510010200,2022,54.0,0.0
24510010200,2023,54.0,0.0
24510010200,2024,52.0,-2.0
24510010300,2020,61.0,
24510010300,2021,58.0,-3.0
24510010300,2022,52.0,-6.0
24510010300,2023,57.0,5.0
24510010300,2024,58.0,1.0
24510010400,2020,60.0,
24510010400,2021,57.0,-3.0
24510010400,2022,62.0,5.0
24510010400,2023,56.0,-6.0
24510010400,2024,58.0,2.0
24510010500,2020,50.0,
24510010500,2021,52.0,2.0
24510010500,2022,50.0,-2.0
24510010500,2023,51.0,1.0
24510010500,2024,49.0,-2.0
24510020100,2020,51.0,
24510020100,2021,54.0,3.0
24510020100,2022,54.0,0.0
24510020100,2023,59.0,5.0
24510020100,2024,58.0,-1.0
24510020200,2020,50.0,
24510020200,2021,52.0,2.0
24510020200,2022,52.0,0.0
24510020200,2023,44.0,-8.0
24510020200,2024,48.0,4.0
24510020300,2020,60.0,
24510020300,2021,65.0,5.0
24510020300,2022,60.0,-5.0
24510020300,2023,60.0,0.0
24510020300,2024,64.0,4.0
24510030100,2020,32.0,
24510030100,2021,36.0,4.0
24510030100,2022,38.0,2.0
24510030100,2023,40.0,2.0
24510030100,2024,39.0,-1.0
24510030200,2020,49.0,
24510030200,2021,59.0,10.0
24510030200,2022,64.0,5.0
24510030200,2023,68.0,4.0
24510030200,2024,71.0,3.0
24510040100,2020,60.0,
24510040100,2021,66.0,6.0
24510040100,2022,67.0,1.0
24510040100,2023,56.0,-11.0
24510040100,2024,59.0,3.0
24510040200,2020,32.0,
24510040200,2021,46.0,14.0
24510040200,2022,49.0,3.0
24510040200,2023,44.0,-5.0
24510040200,2024,46.0,2.0
24510060100,2020,37.0,
24510060100,2021,34.0,-3.0
24510060100,2022,34.0,0.0
24510060100,2023,39.0,5.0
24510060100,2024,41.0,2.0
24510060200,2020,44.0,
24510060200,2021,42.0,-2.0
24510060200,2022,38.0,-4.0
24510060200,2023,41.0,3.0
24510060200,2024,43.0,2.0
24510060300,2020,41.0,
24510060300,2021,48.0,7.0
24510060300,2022,41.0,-7.0
24510060300,2023,47.0,6.0
24510060300,2024,56.0,9.0
24510060400,2020,50.0,
24510060400,2021,40.0,-10.0
24510060400,2022,35.0,-5.0
24510060400,2023,48.0,13.0
24510060400,2024,45.0,-3.0
24510070100,2020,27.0,
24510070100,2021,27.0,0.0
24510070100,2022,31.0,4.0
24510070100,2023,31.0,0.0
24510070100,2024,30.0,-1.0
24510070200,2020,36.0,
24510070200,2021,40.0,4.0
24510070200,2022,31.0,-9.0
24510070200,2023,32.0,1.0
24510070200,2024,35.0,3.0
24510070300,2020,40.0,
24510070300,2021,40.0,0.0
24510070300,2022,40.0,0.0
24510070300,2023,44.0,4.0
24510070300,2024,47.0,3.0
24510070400,2020,36.0,
24510070400,2021,26.0,-10.0
24510070400,2022,36.0,10.0
24510070400,2023,34.0,-2.0
24510070400,2024,36.0,2.0
24510080101,2020,46.0,
24510080101,2021,48.0,2.0
24510080101,2022,50.0,2.0
24510080101,2023,50.0,0.0
24510080101,2024,48.0,-2.0
24510080102,2020,42.0,
24510080102,2021,38.0,-4.0
24510080102,2022,33.0,-5.0
24510080102,2023,41.0,8.0
24510080102,2024,42.0,1.0
24510080200,2020,34.0,
24510080200,2021,30.0,-4.0
24510080200,2022,38.0,8.0
24510080200,2023,33.0,-5.0
24510080200,2024,38.0,5.0
24510080301,2020,26.0,
24510080301,2021,33.0,7.0
24510080301,2022,31.0,-2.0
24510080301,2023,24.0,-7.0
24510080301,2024,30.0,6.0
24510080302,2020,38.0,
24510080302,2021,34.0,-4.0
24510080302,2022,26.0,-8.0
24510080302,2023,28.0,2.0
24510080302,2024,28.0,0.0
24510080400,2020,42.0,
24510080400,2021,41.0,-1.0
24510080400,2022,32.0,-9.0
24510080400,2023,36.0,4.0
24510080400,2024,40.0,4.0
24510080500,2020,31.0,
24510080500,2021,40.0,9.0
24510080500,2022,38.0,-2.0
24510080500,2023,26.0,-12.0
24510080500,2024,18.0,-8.0
24510080600,2020,34.0,
24510080600,2021,20.0,-14.0
24510080600,2022,28.0,8.0
24510080600,2023,24.0,-4.0
24510080600,2024,24.0,0.0
24510080700,2020,40.0,
24510080700,2021,44.0,4.0
24510080700,2022,42.0,-2.0
24510080700,2023,38.0,-4.0
24510080700,2024,38.0,0.0
24510080800,2020,44.0,
24510080800,2021,46.0,2.0
24510080800,2022,44.0,-2.0
24510080800,2023,46.0,2.0
24510080800,2024,44.0,-2.0
24510090100,2020,34.0,
24510090100,2021,34.0,0.0
24510090100,2022,32.0,-2.0
24510090100,2023,32.0,0.0
24510090100,2024,39.0,7.0
24510090200,2020,49.0,
24510090200,2021,48.0,-1.0
24510090200,2022,58.0,10.0
24510090200,2023,52.0,-6.0
24510090200,2024,46.0,-6.0
24510090300,2020,44.0,
