city,state_name,population,pct_black,state,place,state_fips
South Fulton city,Georgia,109157,91.4,13,72122,13
Jackson city,Mississippi,149827,81.8,28,36000,28
Detroit city,Michigan,636644,76.8,26,22000,26
Birmingham city,Alabama,199322,67.1,01,07000,01
Miami Gardens city,Florida,111264,63.4,12,45060,12
Montgomery city,Alabama,198440,63.0,01,51000,01
Memphis city,Tennessee,629063,62.9,47,48000,47
Baltimore city,Maryland,577193,60.0,24,04000,24
Augusta-Richmond County consolidated government (balance),Georgia,201504,56.5,13,04204,13
Shreveport city,Louisiana,183483,56.1,22,70000,22
New Orleans city,Louisiana,376035,55.2,22,55000,22
Macon-Bibb County,Georgia,156543,54.5,13,49008,13
Mobile city,Alabama,185097,52.9,01,50000,01
Savannah city,Georgia,147546,52.2,13,69000,13
Baton Rouge city,Louisiana,223699,51.0,22,05000,22
