county_fips,STNAME,county_name,total_pop,black_pop,black_pct
12001,Florida,Alachua,278474,56838,20.41
12001,Florida,Alachua,279765,57025,20.38
12001,Florida,Alachua,281710,57230,20.32
12001,Florida,Alachua,285241,57679,20.22
12001,Florida,Alachua,288962,58143,20.12
12001,Florida,Alachua,291782,58210,19.95
12003,Florida,Baker,28264,4227,14.96
12003,Florida,Baker,28122,4122,14.66
12003,Florida,Baker,28378,4308,15.18
12003,Florida,Baker,27781,3576,12.87
12003,Florida,Baker,28542,3729,13.06
12003,Florida,Baker,29325,3891,13.27
12005,Florida,Bay,175210,19684,11.23
12005,Florida,Bay,174543,19593,11.23
12005,Florida,Bay,179548,20699,11.53
12005,Florida,Bay,185732,22002,11.85
12005,Florida,Bay,192422,23336,12.13
12005,Florida,Bay,199718,24989,12.51
12007,Florida,Bradford,28305,5775,20.4
12007,Florida,Bradford,28229,5696,20.18
12007,Florida,Bradford,28057,5502,19.61
12007,Florida,Bradford,27275,4928,18.07
12007,Florida,Bradford,27788,4956,17.84
12007,Florida,Bradford,28075,4961,17.67
12009,Florida,Brevard,606607,66056,10.89
12009,Florida,Brevard,608792,66352,10.9
12009,Florida,Brevard,618000,67824,10.97
12009,Florida,Brevard,631956,69980,11.07
12009,Florida,Brevard,646705,72533,11.22
12009,Florida,Brevard,658447,75372,11.45
12011,Florida,Broward,1944404,593050,30.5
12011,Florida,Broward,1943497,593772,30.55
12011,Florida,Broward,1935655,593452,30.66
12011,Florida,Broward,1966237,600799,30.56
12011,Florida,Broward,2002786,608915,30.4
12011,Florida,Broward,2037472,615765,30.22
12013,Florida,Calhoun,13642,1812,13.28
12013,Florida,Calhoun,13704,1865,13.61
12013,Florida,Calhoun,13520,1760,13.02
12013,Florida,Calhoun,13462,1697,12.61
12013,Florida,Calhoun,13497,1731,12.83
12013,Florida,Calhoun,13278,1638,12.34
12015,Florida,Charlotte,186824,11419,6.11
12015,Florida,Charlotte,188017,11478,6.1
12015,Florida,Charlotte,194982,11740,6.02
12015,Florida,Charlotte,203113,12289,6.05
12015,Florida,Charlotte,207085,12696,6.13
12015,Florida,Charlotte,212122,13518,6.37
12017,Florida,Citrus,153845,4980,3.24
12017,Florida,Citrus,154569,5012,3.24
12017,Florida,Citrus,158193,5245,3.32
12017,Florida,Citrus,162586,5424,3.34
12017,Florida,Citrus,166836,5821,3.49
12017,Florida,Citrus,170174,6017,3.54
12019,Florida,Clay,218245,28527,13.07
12019,Florida,Clay,218956,28859,13.18
12019,Florida,Clay,222671,30265,13.59
12019,Florida,Clay,226797,31660,13.96
12019,Florida,Clay,232734,33362,14.33
12019,Florida,Clay,236760,34844,14.72
12021,Florida,Collier,375761,28161,7.49
12021,Florida,Collier,377331,28245,7.49
12021,Florida,Collier,387316,28707,7.41
12021,Florida,Collier,400510,29476,7.36
12021,Florida,Collier,410065,30380,7.41
12021,Florida,Collier,416233,31081,7.47
12023,Florida,Columbia,69698,12256,17.58
12023,Florida,Columbia,69760,12194,17.48
12023,Florida,Columbia,69945,12215,17.46
12023,Florida,Columbia,71941,12778,17.76
12023,Florida,Columbia,73324,12916,17.61
12023,Florida,Columbia,73977,12851,17.37
12027,Florida,DeSoto,33975,4411,12.98
12027,Florida,DeSoto,34089,4418,12.96
12027,Florida,DeSoto,34341,4380,12.75
12027,Florida,DeSoto,35483,4489,12.65
12027,Florida,DeSoto,36274,4698,12.95
12027,Florida,DeSoto,36744,4852,13.2
12029,Florida,Dixie,16756,1705,10.18
12029,Florida,Dixie,16685,1651,9.9
12029,Florida,Dixie,16929,1652,9.76
12029,Florida,Dixie,16839,1454,8.63
12029,Florida,Dixie,17221,1495,8.68
12029,Florida,Dixie,17614,1589,9.02
12031,Florida,Duval,995561,307834,30.92
12031,Florida,Duval,997826,308822,30.95
12031,Florida,Duval,1002908,311220,31.03
12031,Florida,Duval,1021040,315673,30.92
12031,Florida,Duval,1038833,319506,30.76
12031,Florida,Duval,1055159,324080,30.71
