geoid,year,county,state,inclusive_growth_score,is_an_opportunity_zone,county_fips,state_fips
24510150800,2020,Baltimore city,Maryland,36.0,,24510,24
24510150800,2021,Baltimore city,Maryland,40.0,,24510,24
24510150800,2022,Baltimore city,Maryland,34.0,,24510,24
24510150800,2023,Baltimore city,Maryland,38.0,,24510,24
24510150800,2024,Baltimore city,Maryland,38.0,,24510,24
24510250103,2020,Baltimore city,Maryland,48.0,,24510,24
24510250103,2021,Baltimore city,Maryland,44.0,,24510,24
24510250103,2022,Baltimore city,Maryland,43.0,,24510,24
24510250103,2023,Baltimore city,Maryland,40.0,,24510,24
24510250103,2024,Baltimore city,Maryland,42.0,,24510,24
24510220100,2020,Baltimore city,Maryland,59.0,,24510,24
24510220100,2021,Baltimore city,Maryland,68.0,,24510,24
24510220100,2022,Baltimore city,Maryland,64.0,,24510,24
24510220100,2023,Baltimore city,Maryland,62.0,,24510,24
24510220100,2024,Baltimore city,Maryland,61.0,,24510,24
24510250102,2020,Baltimore city,Maryland,34.0,,24510,24
24510250102,2021,Baltimore city,Maryland,40.0,,24510,24
24510250102,2022,Baltimore city,Maryland,37.0,,24510,24
24510250102,2023,Baltimore city,Maryland,41.0,,24510,24
24510250102,2024,Baltimore city,Maryland,37.0,,24510,24
24510110100,2020,Baltimore city,Maryland,45.0,,24510,24
24510110100,2021,Baltimore city,Maryland,44.0,,24510,24
24510110100,2022,Baltimore city,Maryland,45.0,,24510,24
24510110100,2023,Baltimore city,Maryland,44.0,,24510,24
24510110100,2024,Baltimore city,Maryland,43.0,,24510,24
24510250600,2020,Baltimore city,Maryland,,,24510,24
24510250600,2021,Baltimore city,Maryland,,,24510,24
24510250600,2022,Baltimore city,Maryland,,,24510,24
24510250600,2023,Baltimore city,Maryland,,,24510,24
24510250600,2024,Baltimore city,Maryland,,,24510,24
24510260401,2020,Baltimore city,Maryland,38.0,,24510,24
24510260401,2021,Baltimore city,Maryland,40.0,,24510,24
24510260401,2022,Baltimore city,Maryland,34.0,,24510,24
24510260401,2023,Baltimore city,Maryland,32.0,,24510,24
24510260401,2024,Baltimore city,Maryland,38.0,,24510,24
24510160700,2020,Baltimore city,Maryland,32.0,,24510,24
24510160700,2021,Baltimore city,Maryland,38.0,,24510,24
24510160700,2022,Baltimore city,Maryland,29.0,,24510,24
24510160700,2023,Baltimore city,Maryland,32.0,,24510,24
24510160700,2024,Baltimore city,Maryland,32.0,,24510,24
24510060400,2020,Baltimore city,Maryland,50.0,,24510,24
24510060400,2021,Baltimore city,Maryland,40.0,,24510,24
24510060400,2022,Baltimore city,Maryland,35.0,,24510,24
24510060400,2023,Baltimore city,Maryland,48.0,,24510,24
24510060400,2024,Baltimore city,Maryland,45.0,,24510,24
24510080301,2020,Baltimore city,Maryland,26.0,,24510,24
24510080301,2021,Baltimore city,Maryland,33.0,,24510,24
24510080301,2022,Baltimore city,Maryland,31.0,,24510,24
24510080301,2023,Baltimore city,Maryland,24.0,,24510,24
24510080301,2024,Baltimore city,Maryland,30.0,,24510,24
24510260604,2020,Baltimore city,Maryland,42.0,,24510,24
24510260604,2021,Baltimore city,Maryland,36.0,,24510,24
24510260604,2022,Baltimore city,Maryland,24.0,,24510,24
24510260604,2023,Baltimore city,Maryland,30.0,,24510,24
24510260604,2024,Baltimore city,Maryland,30.0,,24510,24
24510272004,2020,Baltimore city,Maryland,36.0,,24510,24
24510272004,2021,Baltimore city,Maryland,38.0,,24510,24
24510272004,2022,Baltimore city,Maryland,36.0,,24510,24
24510272004,2023,Baltimore city,Maryland,50.0,,24510,24
24510272004,2024,Baltimore city,Maryland,52.0,,24510,24
24510210200,2020,Baltimore city,Maryland,48.0,,24510,24
24510210200,2021,Baltimore city,Maryland,47.0,,24510,24
24510210200,2022,Baltimore city,Maryland,55.0,,24510,24
24510210200,2023,Baltimore city,Maryland,48.0,,24510,24
24510210200,2024,Baltimore city,Maryland,54.0,,24510,24
24510150701,2020,Baltimore city,Maryland,44.0,,24510,24
24510150701,2021,Baltimore city,Maryland,48.0,,24510,24
24510150701,2022,Baltimore city,Maryland,49.0,,24510,24
24510150701,2023,Baltimore city,Maryland,46.0,,24510,24
24510150701,2024,Baltimore city,Maryland,45.0,,24510,24
24510270902,2020,Baltimore city,Maryland,40.0,,24510,24
24510270902,2021,Baltimore city,Maryland,38.0,,24510,24
24510270902,2022,Baltimore city,Maryland,41.0,,24510,24
24510270902,2023,Baltimore city,Maryland,39.0,,24510,24
24510270902,2024,Baltimore city,Maryland,30.0,,24510,24
24510130805,2020,Baltimore city,Maryland,34.0,,24510,24
24510130805,2021,Baltimore city,Maryland,34.0,,24510,24
24510130805,2022,Baltimore city,Maryland,36.0,,24510,24
24510130805,2023,Baltimore city,Maryland,40.0,,24510,24
24510130805,2024,Baltimore city,Maryland,35.0,,24510,24
24510090900,2020,Baltimore city,Maryland,36.0,,24510,24
24510090900,2021,Baltimore city,Maryland,35.0,,24510,24
24510090900,2022,Baltimore city,Maryland,32.0,,24510,24
24510090900,2023,Baltimore city,Maryland,38.0,,24510,24
24510090900,2024,Baltimore city,Maryland,35.0,,24510,24
24510130100,2020,Baltimore city,Maryland,39.0,,24510,24
24510130100,2021,Baltimore city,Maryland,36.0,,24510,24
24510130100,2022,Baltimore city,Maryland,34.0,,24510,24
24510130100,2023,Baltimore city,Maryland,35.0,,24510,24
24510130100,2024,Baltimore city,Maryland,41.0,,24510,24
24510270402,2020,Baltimore city,Maryland,48.0,,24510,24
24510270402,2021,Baltimore city,Maryland,48.0,,24510,24
24510270402,2022,Baltimore city,Maryland,46.0,,24510,24
24510270402,2023,Baltimore city,Maryland,47.0,,24510,24
24510270402,2024,Baltimore city,Maryland,47.0,,24510,24
24510151000,2020,Baltimore city,Maryland,32.0,,24510,24
24510151000,2021,Baltimore city,Maryland,38.0,,24510,24
24510151000,2022,Baltimore city,Maryland,36.0,,24510,24
24510151000,2023,Baltimore city,Maryland,34.0,,24510,24
24510151000,2024,Baltimore city,Maryland,34.0,,24510,24
24510261100,2020,Baltimore city,Maryland,54.0,,24510,24
24510261100,2021,Baltimore city,Maryland,43.0,,24510,24
24510261100,2022,Baltimore city,Maryland,50.0,,24510,24
24510261100,2023,Baltimore city,Maryland,54.0,,24510,24
24510261100,2024,Baltimore city,Maryland,50.0,,24510,24
24510272007,2020,Baltimore city,Maryland,32.0,,24510,24
24510272007,2021,Baltimore city,Maryland,37.0,,24510,24
24510272007,2022,Baltimore city,Maryland,38.0,,24510,24
24510272007,2023,Baltimore city,Maryland,36.0,,24510,24
24510272007,2024,Baltimore city,Maryland,37.0,,24510,24
24510130700,2020,Baltimore city,Maryland,56.0,,24510,24
24510130700,2021,Baltimore city,Maryland,56.0,,24510,24
24510130700,2022,Baltimore city,Maryland,60.0,,24510,24
24510130700,2023,Baltimore city,Maryland,54.0,,24510,24
24510130700,2024,Baltimore city,Maryland,57.0,,24510,24
24510260302,2020,Baltimore city,Maryland,34.0,,24510,24
24510260302,2021,Baltimore city,Maryland,40.0,,24510,24
24510260302,2022,Baltimore city,Maryland,44.0,,24510,24
24510260302,2023,Baltimore city,Maryland,43.0,,24510,24
24510260302,2024,Baltimore city,Maryland,44.0,,24510,24
24510261000,2020,Baltimore city,Maryland,42.0,,24510,24
24510261000,2021,Baltimore city,Maryland,38.0,,24510,24
24510261000,2022,Baltimore city,Maryland,36.0,,24510,24
24510261000,2023,Baltimore city,Maryland,44.0,,24510,24
24510261000,2024,Baltimore city,Maryland,50.0,,24510,24
24510270600,2020,Baltimore city,Maryland,54.0,,24510,24
24510270600,2021,Baltimore city,Maryland,51.0,,24510,24
24510270600,2022,Baltimore city,Maryland,49.0,,24510,24
24510270600,2023,Baltimore city,Maryland,49.0,,24510,24
24510270600,2024,Baltimore city,Maryland,51.0,,24510,24
24510280403,2020,Baltimore city,Maryland,46.0,,24510,24
24510280403,2021,Baltimore city,Maryland,37.0,,24510,24
