N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,26163538200,Wayne County,Michigan,2017,61,54,68,56,34,77,33,2.1,1.2,34,-0.4,-12.2,92,4.1,20.7,51,71.2,71.4,70,82.9,88.7,96,57.6,81.5,64,70,59,75,5.9,94.1,62,N/A,N/A,73,5.7,44.1,65,4,5.1,83,59,89,28,20.1,15.7,62,57,67,95,3.3,23.5,19,N/A,N/A,94,86.3,97.1,24,41.3,45.8,97,25.5,63.1,53,91.2,91.6
1,N/A,26163538200,Wayne County,Michigan,2018,62,57,68,56,32,80,33,2.1,1.1,32,5.4,-11.4,92,4.1,20.7,66,72,75.7,70,82.9,88.7,93,57,78.1,62,66,58,75,5.9,94.1,67,N/A,N/A,55,1.6,8.2,65,4,5.1,82,60,88,28,20.1,15.7,69,72,66,91,5.7,19,54,N/A,N/A,97,86.6,97.9,21,41.5,46.7,89,25.5,46.3,56,92.3,93
2,N/A,26163538200,Wayne County,Michigan,2019,56,46,65,61,46,76,46,1.8,4.3,47,16.5,14,92,4.1,20.7,62,72.5,75.2,64,83.9,87.9,88,56.5,73.7,47,36,58,51,13.7,18.2,16,N/A,N/A,40,8.6,5.7,65,4,5.1,81,60,87,28,20.1,15.7,58,55,62,79,9.2,15.3,31,N/A,N/A,97,87,97.7,16,41.6,48.3,69,25.3,33,64,93.3,95
3,N/A,26163538200,Wayne County,Michigan,2020,62,61,63,70,70,70,59,1.5,8.8,80,25.2,118.3,92,4.1,20.7,46,72.8,71.9,62,84.9,88,80,55.8,68.9,60,59,62,44,7.4,7.7,60,N/A,N/A,72,8.1,39.3,88,3.4,7.1,79,61,86,18,20.6,13.7,55,54,56,43,12.2,3.1,64,N/A,N/A,94,87.5,97.2,15,41.6,48.7,45,25.4,23.7,71,94.2,96.4
4,N/A,26163538200,Wayne County,Michigan,2021,54,48,59,70,68,71,57,0,6.9,78,25.7,109.5,92,4.1,20.7,44,73.3,71.8,72,89.1,93.6,76,55.6,66.9,51,45,57,71,5.3,28.6,48,N/A,N/A,15,7.1,-25.6,72,5,7.4,76,59,82,23,20.6,15,40,30,49,39,13.8,2,21,N/A,N/A,81,88.8,95.1,15,41.3,49,8,27.5,10,92,95,99
5,N/A,26163538200,Wayne County,Michigan,2022,55,52,58,58,50,67,37,-0.3,-0.1,63,31.6,53.8,92,4.1,20.7,33,72.9,68.1,76,90.6,95.1,68,56.3,63.8,52,55,50,43,-15,-14.8,51,N/A,N/A,72,17.9,67.2,85,5.1,10.9,41,60,50,23,21.1,15.5,53,50,56,35,14.5,-3.5,65,N/A,N/A,84,88.8,95.8,47,41.3,41.7,6,27.4,8.4,88,94.9,98.6
6,N/A,26163538200,Wayne County,Michigan,2023,50,36,64,56,36,77,16,-0.5,-10.5,56,48.8,60.7,92,4.1,20.7,54,72.2,73.4,77,91.7,95.8,84,56.7,71.7,38,33,42,47,28.8,32.6,22,N/A,N/A,30,-8.5,-20.6,63,3.9,4.9,41,60,50,22,20.7,14.9,57,40,74,34,16.7,-3.8,45,N/A,N/A,91,88.8,97,56,41.5,40.5,N/A,27.8,N/A,76,95,97.6
7,N/A,26163538200,Wayne County,Michigan,2024,47,28,66,56,36,77,16,-0.5,-10.5,56,48.8,60.7,92,4.1,20.7,54,72.2,73.4,77,91.7,95.8,84,56.7,71.7,34,19,48,14,-5.8,-18,14,N/A,N/A,30,-8.5,-20.6,90,3.6,10,41,60,50,13,1.3,0.4,52,30,74,34,16.7,-3.8,25,N/A,N/A,91,88.8,97,56,41.5,40.5,N/A,27.8,N/A,76,95,97.6
8,N/A,26163985000,Wayne County,Michigan,2017,N/A,33,14,13,0,26,0,2.1,-37.4,N/A,-0.4,N/A,26,4.1,1.8,N/A,71.2,N/A,N/A,82.9,N/A,N/A,57.6,N/A,22,42,1,64,5.9,50,37,N/A,N/A,26,5.7,0,N/A,N/A,N/A,N/A,59,N/A,1,20.1,2.4,N/A,58,N/A,N/A,3.3,N/A,58,N/A,N/A,N/A,86.3,N/A,N/A,41.3,N/A,N/A,25.5,N/A,N/A,91.2,N/A
