N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,13121011201,Fulton County,Georgia,2017,34,36,31,40,48,31,78,2.1,15.4,17,-0.4,-16.9,29,4.1,2,30,71.2,66.1,23,82.9,71.4,41,57.6,54.1,46,50,41,70,5.9,25.7,12,N/A,N/A,69,5.7,37.5,63,4,4.9,13,59,15,48,20.1,19.7,16,11,20,6,3.3,-21.5,16,N/A,N/A,18,86.3,69.3,41,41.3,42.8,19,25.5,13.9,1,91.2,72.9
1,N/A,13121011201,Fulton County,Georgia,2018,37,42,32,42,53,32,76,2.1,12.6,30,5.4,-1.8,29,4.1,2,31,72,67.1,23,82.9,71.4,46,57,55.3,43,44,42,70,5.9,25.7,21,N/A,N/A,41,1.6,0,63,4,4.9,14,60,18,48,20.1,19.7,26,29,22,8,5.7,-11.8,50,N/A,N/A,16,86.6,68.3,48,41.5,41.8,22,25.5,15.1,2,92.3,76.6
2,N/A,13121011201,Fulton County,Georgia,2019,36,40,33,36,40,32,53,1.8,2.6,27,16.5,5.8,29,4.1,2,31,72.5,67.7,26,83.9,74.7,44,56.5,53.9,42,41,44,73,13.7,38.6,21,N/A,N/A,28,8.6,-2.3,63,4,4.9,20,60,26,48,20.1,19.7,30,38,22,15,9.2,-1,61,N/A,N/A,13,87,66.9,53,41.6,41.2,18,25.3,13.1,3,93.3,79.8
3,N/A,13121011201,Fulton County,Georgia,2020,32,31,33,24,14,34,18,1.5,-12.6,11,25.2,-9.4,29,4.1,2,42,72.8,70.8,27,84.9,76.6,39,55.8,51.7,48,52,44,75,7.4,39.3,58,N/A,N/A,22,8.1,-7,51,3.4,3.5,30,61,39,51,20.6,20.8,23,26,20,36,12.2,11.2,16,N/A,N/A,11,87.5,65.4,46,41.6,42.3,19,25.4,13.7,5,94.2,82.4
4,N/A,13121011201,Fulton County,Georgia,2021,36,43,30,20,14,27,17,0,-31.4,12,25.7,-20.2,29,4.1,2,29,73.3,67.5,35,89.1,85.5,14,55.6,38.7,52,55,49,36,5.3,1.2,55,N/A,N/A,73,7.1,57.5,58,5,5.8,42,59,51,48,20.6,20.2,37,59,15,57,13.8,22.9,61,N/A,N/A,15,88.8,72.5,34,41.3,44.1,8,27.5,10,2,95,77.1
5,N/A,13121011201,Fulton County,Georgia,2022,36,37,35,26,17,36,17,-0.3,-41.8,17,31.6,-0.7,29,4.1,2,48,72.9,72.4,32,90.6,86.4,37,56.3,51.2,52,51,53,19,-15,-32.6,59,N/A,N/A,75,17.9,111.1,51,5.1,5.2,46,60,55,62,21.1,23.5,30,44,16,63,14.5,29,24,N/A,N/A,9,88.8,65.7,37,41.3,43.5,N/A,27.4,N/A,1,94.9,75
6,N/A,13121011201,Fulton County,Georgia,2023,38,40,37,34,18,49,22,-0.5,-46.5,14,48.8,4,29,4.1,2,76,72.2,78.9,22,91.7,84.9,69,56.7,64.6,50,55,45,76,28.8,89.7,70,N/A,N/A,18,-8.5,-45,32,3.9,2.7,46,60,55,57,20.7,22.2,33,48,18,61,16.7,30.6,34,N/A,N/A,7,88.8,62.6,44,41.5,42.4,N/A,27.8,N/A,2,95,76.5
7,N/A,13121011201,Fulton County,Georgia,2024,36,33,39,34,18,49,22,-0.5,-46.5,14,48.8,4,29,4.1,2,76,72.2,78.9,22,91.7,84.9,69,56.7,64.6,38,24,51,35,-5.8,-9.1,18,N/A,N/A,18,-8.5,-45,40,3.6,3,46,60,55,66,1.3,1.8,37,56,18,61,16.7,30.6,50,N/A,N/A,7,88.8,62.6,44,41.5,42.4,N/A,27.8,N/A,2,95,76.5
8,N/A,13121005200,Fulton County,Georgia,2017,62,62,61,69,82,56,87,2.1,22.3,77,-0.4,18.6,54,4.1,4.7,66,71.2,74.8,52,82.9,83.6,50,57.6,57.7,66,68,65,85,5.9,37.9,72,N/A,N/A,47,5.7,-4.6,31,4,2.9,95,59,97,68,20.1,23.8,49,37,61,61,3.3,3.6,13,N/A,N/A,40,86.3,82.8,68,41.3,38.7,75,25.5,36.2,60,91.2,92.7
9,N/A,13121005200,Fulton County,Georgia,2018,67,72,62,69,84,54,88,2.1,22.5,80,5.4,35.9,54,4.1,4.7,67,72,75.8,52,82.9,83.6,45,57,55,71,77,65,85,5.9,37.9,66,N/A,N/A,79,1.6,16,31,4,2.9,97,60,98,68,20.1,23.8,60,54,66,70,5.7,9.4,38,N/A,N/A,46,86.6,85.2,73,41.5,38.1,87,25.5,44.7,57,92.3,93.3
