N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,28049001200,Hinds County,Mississippi,2017,36,37,35,32,29,36,34,1.5,0.9,24,-1.2,-8.7,5,3.1,0.1,71,76.5,80.5,2,78.6,39.6,68,74.1,79.9,59,69,49,70,4.1,100,N/A,N/A,N/A,68,4.5,53.3,99,4.2,21.1,18,48,17,30,20.3,16.6,16,12,20,12,3,-6.7,N/A,N/A,N/A,15,83.7,63.5,43,41.4,42.4,6,23.1,5.8,14,90,82.1
1,N/A,28049001200,Hinds County,Mississippi,2018,31,28,34,30,26,35,45,1.4,3.7,7,3.1,-26.2,5,3.1,0.1,66,77.1,80.1,2,78.6,39.6,66,73.8,79.1,42,38,46,70,4.1,100,N/A,N/A,N/A,7,0,-39.1,99,4.2,21.1,10,48,10,30,20.3,16.6,20,21,20,21,5.1,0,N/A,N/A,N/A,14,84,62.5,51,41.6,41.5,5,22.9,4.9,12,91.2,82.5
2,N/A,28049001200,Hinds County,Mississippi,2019,32,30,34,21,7,35,9,1.2,-8,5,10.8,-29.2,5,3.1,0.1,66,77.5,80.5,1,79.7,41.2,69,73.6,79.6,40,34,45,20,13.3,5.6,N/A,N/A,N/A,49,6.6,14.3,99,4.2,21.1,6,48,6,30,20.3,16.6,36,50,22,50,8.3,13.9,N/A,N/A,N/A,13,84.4,62.5,54,41.7,41.1,12,22.9,9.3,10,92.3,83.3
3,N/A,28049001200,Hinds County,Mississippi,2020,37,40,34,20,4,36,4,1,-15.4,3,17.5,-33.8,5,3.1,0.1,65,77.8,80.5,1,80.8,42.8,71,73,80,50,62,38,63,6.7,26.3,N/A,N/A,N/A,62,7.4,31.2,91,3.6,8.3,3,48,3,20,20.6,14.8,40,53,27,53,11.1,18.4,N/A,N/A,N/A,10,84.9,60.2,56,41.8,40.9,33,23,17.5,8,93.2,83.1
4,N/A,28049001200,Hinds County,Mississippi,2021,40,46,34,28,19,36,5,-0.7,-21.6,33,15.9,14,5,3.1,0.1,84,78.5,85.6,3,85.9,57.5,53,72.5,73.6,45,56,34,45,5.4,8.3,N/A,N/A,N/A,67,11.2,61.9,73,5.1,7.7,4,47,4,25,20.6,15.8,47,62,32,62,12.4,28,N/A,N/A,N/A,6,86.3,54.8,33,41.3,44.2,89,25.3,50.1,2,94.1,75.5
5,N/A,28049001200,Hinds County,Mississippi,2022,34,28,39,28,18,38,15,-0.8,-15.2,22,21.5,3,5,3.1,0.1,83,77.9,85.1,5,87.6,66.3,61,72.6,76.3,28,10,45,5,-11.8,-42.3,N/A,N/A,N/A,15,13.3,-8.8,92,4.9,13.3,7,46,7,36,20.9,18.3,46,57,34,57,13.1,24.6,N/A,N/A,N/A,5,86.4,54.2,32,41.4,44.4,97,25.2,74,3,94,77
6,N/A,28049001200,Hinds County,Mississippi,2023,36,40,33,24,17,30,17,-0.9,-13.1,N/A,40.3,N/A,5,3.1,0.1,42,77.4,75.6,4,88.8,68.4,69,72.8,79.3,48,53,42,61,27.6,60,N/A,N/A,N/A,45,-8.7,-2.6,87,3.8,8.3,7,46,7,33,20.7,17.5,39,50,28,50,15.1,22.9,N/A,N/A,N/A,4,86.3,49.6,14,41.5,49.3,91,25.3,54.8,4,93.9,79.1
7,N/A,28049001200,Hinds County,Mississippi,2024,34,31,36,24,17,30,17,-0.9,-13.1,N/A,40.3,N/A,5,3.1,0.1,42,77.4,75.6,4,88.8,68.4,69,72.8,79.3,38,26,50,6,-4.9,-20.8,N/A,N/A,N/A,45,-8.7,-2.6,93,3.6,10.5,7,46,7,N/A,N/A,N/A,39,50,28,50,15.1,22.9,N/A,N/A,N/A,4,86.3,49.6,14,41.5,49.3,91,25.3,54.8,4,93.9,79.1
8,N/A,28049001400,Hinds County,Mississippi,2017,61,54,68,54,32,75,25,1.5,-2.2,38,-1.2,-21.1,75,3.1,7.6,59,76.5,78.2,73,78.6,85.4,93,74.1,88.8,74,69,79,74,4.1,9.6,63,N/A,N/A,69,4.5,7.1,41,4.2,3.5,98,48,96,97,20.3,36.2,55,60,50,58,3,0.3,61,N/A,N/A,64,83.7,87.9,12,41.4,49.1,28,23.1,15.9,98,90,98.5
