N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,47157020832,Shelby County,Tennessee,2017,64,59,68,68,80,55,87,2.1,9.4,72,-0.4,6.6,22,4.1,1.5,86,71.2,80.1,63,82.9,86.9,49,57.6,57.3,56,37,76,24,5.9,-50,43,N/A,N/A,44,5.7,-7.9,63,4,5,79,59,86,85,20.1,29,66,60,72,44,3.3,-2.5,75,N/A,N/A,86,86.3,95.2,78,41.3,37.1,34,25.5,19.6,92,91.2,97.5
1,N/A,47157020832,Shelby County,Tennessee,2018,62,55,68,66,78,55,88,2.1,9.7,67,5.4,9.4,22,4.1,1.5,86,72,80.8,63,82.9,86.9,49,57,56.7,60,44,75,24,5.9,-50,50,N/A,N/A,57,1.6,-1.2,63,4,5,76,60,83,85,20.1,29,58,42,74,34,5.7,-5.9,49,N/A,N/A,76,86.6,93.1,81,41.5,36.8,52,25.5,26.3,89,92.3,97.5
2,N/A,47157020832,Shelby County,Tennessee,2019,67,66,68,66,76,55,90,1.8,10.4,61,16.5,13.8,22,4.1,1.5,85,72.5,81.1,60,83.9,86.8,54,56.5,57.8,68,63,72,77,13.7,27.4,53,N/A,N/A,60,8.6,7.4,63,4,5,69,60,78,85,20.1,29,68,60,76,30,9.2,-7.3,89,N/A,N/A,65,87,90.9,87,41.6,35.7,66,25.3,31.8,84,93.3,97.2
3,N/A,47157020832,Shelby County,Tennessee,2020,62,61,63,66,76,56,83,1.5,6.4,69,25.2,32.4,22,4.1,1.5,83,72.8,80.6,63,84.9,88.2,58,55.8,59.1,60,65,55,83,7.4,29.8,63,N/A,N/A,48,8.1,-0.6,19,3.4,1.9,64,61,74,82,20.6,28.4,60,43,78,32,12.2,-1.9,54,N/A,N/A,59,87.5,89.9,85,41.6,35.9,83,25.4,41.2,83,94.2,97.5
4,N/A,47157020832,Shelby County,Tennessee,2021,58,51,64,49,38,60,39,0,-13,36,25.7,-28,22,4.1,1.5,93,73.3,85.4,77,89.1,94.5,49,55.6,55.4,51,46,56,35,5.3,-5.1,57,N/A,N/A,45,7.1,-6.9,29,5,3.4,60,59,69,78,20.6,26.9,72,68,77,46,13.8,8,89,N/A,N/A,72,88.8,93.5,78,41.3,36.7,N/A,27.5,N/A,81,95,98
5,N/A,47157020832,Shelby County,Tennessee,2022,60,56,64,48,36,59,37,-0.3,-30.2,35,31.6,-27.5,22,4.1,1.5,91,72.9,84.5,74,90.6,94.8,50,56.3,56.1,62,63,62,55,-15,-16.1,62,N/A,N/A,72,17.9,28.6,37,5.1,4,69,60,76,80,21.1,28.2,71,70,72,70,14.5,19.3,70,N/A,N/A,72,88.8,93.5,66,41.3,38.8,N/A,27.4,N/A,78,94.9,97.7
6,N/A,47157020832,Shelby County,Tennessee,2023,54,49,59,46,36,55,38,-0.5,-46.2,35,48.8,-16,22,4.1,1.5,86,72.2,82.1,74,91.7,95.4,38,56.7,51.7,56,51,61,67,28.8,38.4,51,N/A,N/A,35,-8.5,-46.5,34,3.9,2.9,69,60,76,81,20.7,28,60,59,62,73,16.7,23.6,45,N/A,N/A,73,88.8,93.6,58,41.5,40.3,42,27.8,24.7,73,95,97.4
7,N/A,47157020832,Shelby County,Tennessee,2024,52,48,57,46,36,55,38,-0.5,-46.2,35,48.8,-16,22,4.1,1.5,86,72.2,82.1,74,91.7,95.4,38,56.7,51.7,47,39,55,37,-5.8,-12.1,44,N/A,N/A,35,-8.5,-46.5,45,3.6,3.3,69,60,76,52,1.3,1.3,66,70,62,73,16.7,23.6,67,N/A,N/A,73,88.8,93.6,58,41.5,40.3,42,27.8,24.7,73,95,97.4
8,N/A,47157020101,Shelby County,Tennessee,2017,34,41,27,47,37,57,18,2.1,-19,56,-0.4,8.2,94,4.1,22.6,67,71.2,75.2,14,82.9,65.4,52,57.6,58.5,14,14,14,1,5.9,-33.3,N/A,N/A,N/A,28,5.7,0,N/A,N/A,N/A,10,59,12,19,20.1,13.5,41,71,11,71,3.3,21.3,N/A,N/A,N/A,9,86.3,59.9,1,41.3,59.2,18,25.5,13.6,17,91.2,83.9
