SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,26,001,Michigan,Alcona County,1,0,10161,5135,5026,4987,4843,28,36,32,40,12,34,7,3,69,70,5051,4911,53,74,72,74,23,38,7,4,5066,4956,4924,4782,27,35,31,37,12,33,3,2,69,67,4988,4847,52,71,71,69,23,36,3,3,69,70,63,61,1,1,1,3,0,1,4,1,0,3,63,64,1,3,1,5,0,2,4,1
050,26,001,Michigan,Alcona County,1,1,336,168,168,157,158,1,3,2,0,0,0,1,0,7,7,162,165,5,8,4,2,3,0,1,0,162,161,152,151,1,3,2,0,0,0,0,0,7,7,157,158,5,8,4,2,3,0,0,0,6,7,5,7,0,0,0,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,1,0
050,26,001,Michigan,Alcona County,1,2,335,166,169,157,152,3,2,0,4,0,1,3,0,3,10,160,162,5,9,0,6,1,3,3,0,158,166,152,149,3,2,0,4,0,1,0,0,3,10,155,159,5,9,0,6,1,3,0,0,8,3,5,3,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,3,0
050,26,001,Michigan,Alcona County,1,3,386,189,197,180,187,2,1,1,3,0,1,0,0,6,5,186,192,4,5,4,4,1,1,0,0,183,191,174,184,2,1,1,1,0,1,0,0,6,4,180,188,4,5,4,1,1,1,0,0,6,6,6,3,0,0,0,2,0,0,0,0,0,1,6,4,0,0,0,3,0,0,0,0
050,26,001,Michigan,Alcona County,1,4,376,196,180,183,166,1,3,3,3,2,1,0,1,7,6,190,171,4,7,6,5,3,2,0,2,192,175,179,163,1,3,3,3,2,1,0,0,7,5,186,167,4,6,6,5,3,1,0,1,4,5,4,3,0,0,0,0,0,0,0,1,0,1,4,4,0,1,0,0,0,1,0,1
050,26,001,Michigan,Alcona County,1,5,358,191,167,182,157,0,5,3,2,0,1,0,0,6,2,188,159,3,5,6,4,1,1,0,0,187,165,178,155,0,5,3,2,0,1,0,0,6,2,184,157,3,5,6,4,1,1,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,6,406,214,192,196,184,5,1,2,3,1,0,0,0,10,4,204,188,8,3,8,5,4,0,0,0,210,186,193,180,4,0,2,2,1,0,0,0,10,4,201,184,7,2,8,4,4,0,0,0,4,6,3,4,1,1,0,1,0,0,0,0,0,0,3,4,1,1,0,1,0,0,0,0
050,26,001,Michigan,Alcona County,1,7,336,178,158,171,151,3,2,2,1,0,3,1,0,1,1,172,152,3,2,3,2,0,3,1,0,174,156,167,149,3,2,2,1,0,3,1,0,1,1,168,150,3,2,3,2,0,3,1,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,8,388,196,192,184,185,6,2,1,0,3,2,1,0,1,3,185,188,6,3,2,2,3,2,1,0,192,187,180,180,6,2,1,0,3,2,1,0,1,3,181,183,6,3,2,2,3,2,1,0,4,5,4,5,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0
050,26,001,Michigan,Alcona County,1,9,395,192,203,188,193,1,3,0,2,2,3,0,0,1,2,189,195,2,4,0,2,2,4,0,0,188,202,184,192,1,3,0,2,2,3,0,0,1,2,185,194,2,4,0,2,2,4,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
