N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,01073012001,Jefferson County,Alabama,2017,31,32,30,40,39,40,65,2.1,5.9,13,-0.4,-56.3,4,4.1,0.1,75,71.2,77.1,32,82.9,76.4,48,57.6,56.7,28,36,20,68,5.9,54.5,N/A,N/A,N/A,5,5.7,-35.5,N/A,N/A,N/A,20,59,25,N/A,N/A,N/A,26,20,31,20,3.3,-6.7,N/A,N/A,N/A,20,86.3,71.3,49,41.3,41.5,10,25.5,9.2,46,91.2,90.6
1,N/A,01073012001,Jefferson County,Alabama,2018,38,46,30,42,43,40,72,2.1,8.6,14,5.4,-49.7,4,4.1,0.1,79,72,78.8,32,82.9,76.4,47,57,55.7,42,68,17,68,5.9,54.5,N/A,N/A,N/A,69,1.6,65,N/A,N/A,N/A,17,60,21,N/A,N/A,N/A,30,28,33,28,5.7,0,N/A,N/A,N/A,20,86.6,71.8,55,41.5,40.8,19,25.5,13.9,39,92.3,90.5
2,N/A,01073012001,Jefferson County,Alabama,2019,36,41,30,48,56,40,73,1.8,9.1,39,16.5,9.8,4,4.1,0.1,79,72.5,79.2,34,83.9,78.7,44,56.5,54.1,20,28,11,33,13.7,11.8,N/A,N/A,N/A,24,8.6,0,N/A,N/A,N/A,11,60,14,N/A,N/A,N/A,38,38,39,38,9.2,7,N/A,N/A,N/A,25,87,76,62,41.6,39.9,38,25.3,20.9,30,93.3,90.2
3,N/A,01073012001,Jefferson County,Alabama,2020,42,51,33,41,42,40,52,1.5,1.6,33,25.2,11,4,4.1,0.1,77,72.8,79.1,35,84.9,80.1,43,55.8,53.2,32,54,10,66,7.4,42.1,N/A,N/A,N/A,43,8.1,12.1,N/A,N/A,N/A,10,61,13,N/A,N/A,N/A,54,57,50,57,12.2,17.9,N/A,N/A,N/A,35,87.5,82.3,74,41.6,38.1,61,25.4,29.6,28,94.2,90.9
4,N/A,01073012001,Jefferson County,Alabama,2021,44,56,32,38,42,34,31,0,-7.7,52,25.7,35.2,4,4.1,0.1,67,73.3,77.6,17,89.1,78,46,55.6,53.8,34,60,8,59,5.3,18.5,N/A,N/A,N/A,62,7.1,40.5,N/A,N/A,N/A,8,59,10,N/A,N/A,N/A,61,67,55,67,13.8,26.1,N/A,N/A,N/A,66,88.8,92.4,49,41.3,41.4,N/A,27.5,N/A,49,95,94.9
5,N/A,01073012001,Jefferson County,Alabama,2022,45,47,43,40,36,43,27,-0.3,-14.3,44,31.6,29.5,4,4.1,0.1,85,72.9,82.2,16,90.6,80.4,68,56.3,63.8,28,39,17,57,-15,0,N/A,N/A,N/A,21,17.9,3.8,N/A,N/A,N/A,17,60,22,N/A,N/A,N/A,68,67,68,67,14.5,28.2,N/A,N/A,N/A,71,88.8,93.3,61,41.3,39.5,85,27.4,48.6,56,94.9,95.7
6,N/A,01073012001,Jefferson County,Alabama,2023,38,38,39,32,27,38,29,-0.5,-14,25,48.8,11.5,4,4.1,0.1,80,72.2,80.2,16,91.7,82.2,53,56.7,57.7,24,30,17,26,28.8,18.8,N/A,N/A,N/A,33,-8.5,-11.1,N/A,N/A,N/A,17,60,22,N/A,N/A,N/A,60,57,62,57,16.7,23.5,N/A,N/A,N/A,56,88.8,90.2,34,41.5,44.2,91,27.8,57.8,65,95,96.6
7,N/A,01073012001,Jefferson County,Alabama,2024,37,35,39,32,27,38,29,-0.5,-14,25,48.8,11.5,4,4.1,0.1,80,72.2,80.2,16,91.7,82.2,53,56.7,57.7,20,22,17,11,-5.8,-15.8,N/A,N/A,N/A,33,-8.5,-11.1,N/A,N/A,N/A,17,60,22,N/A,N/A,N/A,60,57,62,57,16.7,23.5,N/A,N/A,N/A,56,88.8,90.2,34,41.5,44.2,91,27.8,57.8,65,95,96.6
8,N/A,01073002306,Jefferson County,Alabama,2017,47,43,51,50,37,62,43,2.1,1,31,-0.4,-17.3,34,4.1,2.5,83,71.2,79.2,34,82.9,77.3,95,57.6,80.2,44,45,42,78,5.9,20.8,21,N/A,N/A,36,5.7,-6,2,4,1,82,59,88,N/A,N/A,N/A,49,48,50,54,3.3,2.2,43,N/A,N/A,68,86.3,91.2,53,41.3,40.8,24,25.5,15.8,55,91.2,92.1
