N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,N/A,22071011900,Orleans Parish,Louisiana,2017,50,42,58,46,23,70,16,2.1,-3.4,30,-0.4,-10.5,24,4.1,1.7,58,71.2,73,98,82.9,97.5,99,57.6,90.9,46,41,52,46,5.9,12.5,61,N/A,N/A,15,5.7,-14.7,N/A,N/A,N/A,97,59,98,7,20.1,9.6,56,62,51,59,3.3,2.4,66,N/A,N/A,20,86.3,71.5,4,41.3,54.1,95,25.5,56.2,86,91.2,96.6
1,N/A,22071011900,Orleans Parish,Louisiana,2018,46,36,57,44,20,68,11,2.1,-5.3,28,5.4,-8.7,24,4.1,1.7,52,72,72.3,98,82.9,97.5,100,57,91.3,46,40,52,46,5.9,12.5,65,N/A,N/A,9,1.6,-31,N/A,N/A,N/A,97,60,98,7,20.1,9.6,50,49,50,55,5.7,3.5,43,N/A,N/A,18,86.6,69.9,4,41.5,54.8,96,25.5,58,82,92.3,96.5
2,N/A,22071011900,Orleans Parish,Louisiana,2019,41,29,53,46,28,64,13,1.8,-4.6,42,16.5,14.5,24,4.1,1.7,37,72.5,69.3,97,83.9,97,100,56.5,90.5,43,35,51,59,13.7,33.3,12,N/A,N/A,34,8.6,5,N/A,N/A,N/A,95,60,97,7,20.1,9.6,34,24,45,44,9.2,2.7,4,N/A,N/A,14,87,67.2,3,41.6,56.1,96,25.3,58.7,67,93.3,95.3
3,N/A,22071011900,Orleans Parish,Louisiana,2020,46,37,54,39,18,60,12,1.5,-5.1,24,25.2,1.1,24,4.1,1.7,25,72.8,66.2,93,84.9,95.8,99,55.8,88.6,54,48,61,64,7.4,41.7,21,N/A,N/A,58,8.1,23.8,80,3.4,5.9,95,61,97,9,20.6,10.4,42,44,40,33,12.2,-2.1,56,N/A,N/A,12,87.5,66.9,3,41.6,56.5,97,25.4,63.7,49,94.2,94.1
4,N/A,22071011900,Orleans Parish,Louisiana,2021,39,32,46,38,20,55,14,0,-8.7,27,25.7,2.5,24,4.1,1.7,24,73.3,65.6,72,89.1,93.4,99,55.6,86.5,45,37,53,21,5.3,0,31,N/A,N/A,59,7.1,26.9,59,5,5.9,93,59,95,8,20.6,10.2,34,40,29,34,13.8,-0.1,47,N/A,N/A,10,88.8,67.5,3,41.3,56.3,52,27.5,28.5,52,95,95.2
5,N/A,22071011900,Orleans Parish,Louisiana,2022,42,39,46,44,30,59,14,-0.3,-10.5,45,31.6,33.7,24,4.1,1.7,41,72.9,70.6,74,90.6,94.7,98,56.3,84.9,44,36,52,17,-15,-23.5,64,N/A,N/A,26,17.9,6.1,72,5.1,7.7,79,60,85,6,21.1,9.5,38,50,26,35,14.5,1,65,N/A,N/A,11,88.8,68.4,7,41.3,53.1,27,27.4,18.1,58,94.9,95.8
6,N/A,22071011900,Orleans Parish,Louisiana,2023,37,25,49,44,29,58,15,-0.5,-11.4,43,48.8,46.7,24,4.1,1.7,48,72.2,71.6,66,91.7,94.3,96,56.7,82,35,13,57,7,28.8,-15.4,20,N/A,N/A,12,-8.5,-48.6,87,3.9,9.1,79,60,85,6,20.7,9.7,33,34,32,40,16.7,5.5,27,N/A,N/A,11,88.8,68.8,4,41.5,55.4,32,27.8,20.5,81,95,98
7,N/A,22071011900,Orleans Parish,Louisiana,2024,42,34,49,44,29,58,15,-0.5,-11.4,43,48.8,46.7,24,4.1,1.7,48,72.2,71.6,66,91.7,94.3,96,56.7,82,46,36,56,59,-5.8,9.1,38,N/A,N/A,12,-8.5,-48.6,86,3.6,8.3,79,60,85,4,1.3,0.2,34,36,32,40,16.7,5.5,31,N/A,N/A,11,88.8,68.8,4,41.5,55.4,32,27.8,20.5,81,95,98
8,N/A,22071014400,Orleans Parish,Louisiana,2017,44,39,50,38,24,53,4,2.1,-12.4,45,-0.4,1.4,66,4.1,6.7,31,71.2,66.3,19,82.9,69.5,95,57.6,80.4,58,48,69,54,5.9,4.9,35,N/A,N/A,55,5.7,10.9,95,4,11.1,62,59,71,51,20.1,20.3,38,46,29,55,3.3,4.6,38,N/A,N/A,36,86.3,81,7,41.3,52,52,25.5,26.2,21,91.2,85
9,N/A,22071014400,Orleans Parish,Louisiana,2018,48,45,50,40,29,50,3,2.1,-20,55,5.4,18.4,66,4.1,6.7,20,72,63.7,19,82.9,69.5,95,57,80,60,48,71,54,5.9,4.9,62,N/A,N/A,27,1.6,-13.1,95,4,11.1,68,60,77,51,20.1,20.3,44,59,28,76,5.7,17.5,42,N/A,N/A,36,86.6,81.5,9,41.5,51,45,25.5,23.5,22,92.3,86.8
10,N/A,22071014400,Orleans Parish,Louisiana,2019,48,45,52,38,23,52,4,1.8,-13,42,16.5,15.5,66,4.1,6.7,26,72.5,66.1,23,83.9,73,95,56.5,79.5,63,53,73,37,13.7,4.7,44,N/A,N/A,77,8.6,49.1,95,4,11.1,73,60,81,51,20.1,20.3,46,60,32,71,9.2,17.8,49,N/A,N/A,41,87,83.8,23,41.6,46.4,40,25.3,21.8,23,93.3,88.7
11,N/A,22071014400,Orleans Parish,Louisiana,2020,50,45,56,46,40,52,18,1.5,-2.9,61,25.2,53.6,66,4.1,6.7,28,72.8,67.1,23,84.9,74.8,93,55.8,77.3,55,32,78,26,7.4,-12.2,51,N/A,N/A,19,8.1,-19,98,3.4,12.7,77,61,84,59,20.6,22.3,50,62,38,74,12.2,23.7,51,N/A,N/A,41,87.5,84.5,33,41.6,44.5,54,25.4,26.9,25,94.2,90.3
12,N/A,22071014400,Orleans Parish,Louisiana,2021,64,64,63,60,60,59,51,0,4.9,70,25.7,93.8,66,4.1,6.7,46,73.3,72.2,38,89.1,86.2,85,55.6,71.4,72,65,78,76,5.3,16.5,49,N/A,N/A,71,7.1,34.4,93,5,13,80,59,85,60,20.6,22.6,59,67,51,82,13.8,38.8,52,N/A,N/A,63,88.8,91.8,23,41.3,46.5,100,27.5,100,17,95,89.2
13,N/A,22071014400,Orleans Parish,Louisiana,2022,60,53,67,60,50,69,34,-0.3,-0.8,65,31.6,80.6,66,4.1,6.7,74,72.9,79.2,58,90.6,92.1,78,56.3,68.1,62,45,78,46,-15,-19.6,60,N/A,N/A,30,17.9,2.3,96,5.1,17.6,83,60,88,55,21.1,22,58,64,53,84,14.5,61.7,44,N/A,N/A,61,88.8,91.3,26,41.3,45.9,98,27.4,91.3,27,94.9,91.5
14,N/A,22071014400,Orleans Parish,Louisiana,2023,62,53,71,52,35,70,20,-0.5,-7.2,50,48.8,61,66,4.1,6.7,80,72.2,80.2,60,91.7,93.3,73,56.7,66.3,66,52,79,48,28.8,21.6,51,N/A,N/A,56,-8.5,-2.3,96,3.9,14.4,83,60,88,59,20.7,22.6,68,72,63,85,16.7,78,59,N/A,N/A,88,88.8,96.4,30,41.5,45,99,27.8,100,35,95,93
15,N/A,22071014400,Orleans Parish,Louisiana,2024,62,56,69,52,35,70,20,-0.5,-7.2,50,48.8,61,66,4.1,6.7,80,72.2,80.2,60,91.7,93.3,73,56.7,66.3,68,63,74,67,-5.8,-2.2,65,N/A,N/A,56,-8.5,-2.3,94,3.6,12.5,83,60,88,44,1.3,1.1,66,70,63,85,16.7,78,56,N/A,N/A,88,88.8,96.4,30,41.5,45,99,27.8,100,35,95,93
16,N/A,22051026000,Jefferson Parish,Louisiana,2017,42,38,45,30,18,41,5,2.1,-11.3,30,-0.4,-6.4,9,4.1,0.5,62,71.2,74.1,3,82.9,47,89,57.6,75.4,67,69,65,77,5.9,16.8,55,N/A,N/A,75,5.7,24.1,94,4,10.1,29,59,36,73,20.1,25.1,28,26,29,14,3.3,-16.5,37,N/A,N/A,13,86.3,65,27,41.3,45.3,71,25.5,34.4,5,91.2,77.8
17,N/A,22051026000,Jefferson Parish,Louisiana,2018,40,34,46,26,14,39,4,2.1,-12.3,23,5.4,-8.7,9,4.1,0.5,65,72,75.3,3,82.9,47,79,57,69.1,56,47,65,77,5.9,16.8,37,N/A,N/A,27,1.6,-23.5,94,4,10.1,28,60,35,73,20.1,25.1,38,42,34,14,5.7,-14.3,70,N/A,N/A,14,86.6,66.9,48,41.5,41.7,65,25.5,31.2,7,92.3,81.2
18,N/A,22051026000,Jefferson Parish,Louisiana,2019,36,28,45,22,9,34,6,1.8,-9.5,12,16.5,-16.5,9,4.1,0.5,58,72.5,74.2,4,83.9,52.5,63,56.5,61.6,50,36,63,27,13.7,-28.8,51,N/A,N/A,29,8.6,-14.7,94,4,10.1,22,60,29,73,20.1,25.1,38,38,39,15,9.2,-7.9,61,N/A,N/A,17,87,70.1,68,41.6,38.9,57,25.3,28,14,93.3,86.2
19,N/A,22051026000,Jefferson Parish,Louisiana,2020,38,35,42,26,22,30,25,1.5,-1.1,19,25.2,2.5,9,4.1,0.5,56,72.8,74.1,4,84.9,55.5,53,55.8,57.2,54,47,60,47,7.4,1.1,38,N/A,N/A,57,8.1,9.4,91,3.4,7.8,16,61,21,74,20.6,25.8,36,36,36,14,12.2,-10.2,57,N/A,N/A,19,87.5,73.5,69,41.6,38.8,34,25.4,19.5,22,94.2,89.7
20,N/A,22051026000,Jefferson Parish,Louisiana,2021,34,42,27,26,40,12,46,0,2.9,34,25.7,20.2,9,4.1,0.5,2,73.3,49.7,4,89.1,65.2,35,55.6,49.5,58,63,52,53,5.3,2.2,55,N/A,N/A,80,7.1,37.1,79,5,8.7,3,59,4,73,20.6,25.6,20,24,16,15,13.8,-3.9,34,N/A,N/A,13,88.8,70.1,42,41.3,42.6,5,27.5,8.2,4,95,81.2
21,N/A,22051026000,Jefferson Parish,Louisiana,2022,40,53,27,34,44,23,59,-0.3,9.8,30,31.6,20.8,9,4.1,0.5,5,72.9,54.9,4,90.6,67.3,73,56.3,65.7,54,62,47,75,-15,-6.5,71,N/A,N/A,41,17.9,5.2,67,5.1,7,1,60,1,73,21.1,26.3,32,53,10,32,14.5,8.4,74,N/A,N/A,10,88.8,67.4,17,41.3,48.4,N/A,27.4,N/A,4,94.9,81.5
22,N/A,22051026000,Jefferson Parish,Louisiana,2023,38,56,21,38,54,23,58,-0.5,9.8,49,48.8,68.8,9,4.1,0.5,10,72.2,57.6,5,91.7,72.3,68,56.7,64.1,42,53,32,41,28.8,9.3,57,N/A,N/A,61,-8.5,-4,21,3.9,2.1,1,60,1,73,20.7,25.9,34,60,8,68,16.7,30.4,52,N/A,N/A,12,88.8,69.9,9,41.5,51.4,N/A,27.8,N/A,4,95,80.5
23,N/A,22051026000,Jefferson Parish,Louisiana,2024,37,59,15,38,54,23,58,-0.5,9.8,49,48.8,68.8,9,4.1,0.5,10,72.2,57.6,5,91.7,72.3,68,56.7,64.1,38,64,13,66,-5.8,-4.3,65,N/A,N/A,61,-8.5,-4,26,3.6,2.2,1,60,1,13,1.3,0.4,34,60,8,68,16.7,30.4,52,N/A,N/A,12,88.8,69.9,9,41.5,51.4,N/A,27.8,N/A,4,95,80.5
